# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    2.237237237  -28.819599566  -28.757876824  -28.743023263
    2.252252252  -28.271425560  -28.188471861  -28.168454459
    2.267267267  -27.696382658  -27.581206399  -27.553203643
    2.282282282  -27.120385988  -26.974572323  -26.938798880
    2.297297297  -26.649163644  -26.461993561  -26.415678274
    2.312312312  -26.293552582  -26.046674629  -25.985313458
    2.327327327  -25.960642588  -25.651151397  -25.574090825
    2.342342342  -25.636605642  -25.287958797  -25.200975757
    2.357357357  -25.371264654  -25.019197529  -24.931227016
    2.372372372  -25.140862193  -24.794970988  -24.708588373
    2.387387387  -24.914098331  -24.536201810  -24.441944101
    2.402402402  -24.735311850  -24.283500305  -24.170760917
    2.417417417  -24.598711691  -24.093879688  -23.967799889
    2.432432432  -24.403342624  -23.932161768  -23.814432525
    2.447447447  -24.104353594  -23.763791810  -23.678672411
    2.462462462  -23.752621503  -23.598609399  -23.560123509
    2.477477477  -23.390741792  -23.435460392  -23.446691121
    2.492492492  -23.028256651  -23.267740005  -23.327690208
    2.507507508  -22.670665852  -23.091679821  -23.197061573
    2.522522523  -22.315167511  -22.873211058  -23.012982603
    2.537537538  -21.965683012  -22.586461096  -22.742069271
    2.552552553  -21.632648127  -22.247760280  -22.402057404
    2.567567568  -21.305029478  -21.874644598  -22.017616526
    2.582582583  -20.983982993  -21.492025975  -21.619579980
    2.597597598  -20.677666016  -21.126739174  -21.239446981
    2.612612613  -20.375146149  -20.788069865  -20.891603814
    2.627627628  -20.073766060  -20.472311095  -20.572177917
    2.642642643  -19.770832314  -20.153133528  -20.248954864
    2.657657658  -19.464312671  -19.813022726  -19.900482247
    2.672672673  -19.167090591  -19.467325996  -19.542685865
    2.687687688  -18.877684463  -19.123425071  -19.185185187
    2.702702703  -18.574337132  -18.768750747  -18.817717889
    2.717717718  -18.265184857  -18.413555572  -18.451057151
    2.732732733  -17.983469676  -18.090516662  -18.117736154
    2.747747748  -17.740462230  -17.812000090  -17.830375847
    2.762762763  -17.504335620  -17.548698295  -17.560276012
    2.777777778  -17.262753904  -17.284514982  -17.290395342
    2.792792793  -17.056406198  -17.052764304  -17.052225967
    2.807807808  -16.907354247  -16.873656067  -16.865555774
    2.822822823  -16.795277977  -16.735747666  -16.721145837
    2.837837838  -16.703201400  -16.632951115  -16.615632852
    2.852852853  -16.623091276  -16.544895302  -16.525624961
    2.867867868  -16.542730833  -16.438221562  -16.412442346
    2.882882883  -16.453484220  -16.307265619  -16.271051172
    2.897897898  -16.348394469  -16.166326632  -16.121051148
    2.912912913  -16.219661844  -16.017074063  -15.966582780
    2.927927928  -16.050716235  -15.830906066  -15.776099874
    2.942942943  -15.833623852  -15.591138918  -15.530678341
    2.957957958  -15.583873153  -15.321360851  -15.255902658
    2.972972973  -15.317104451  -15.045389436  -14.977666325
    2.987987988  -15.043567847  -14.771139322  -14.703301703
    3.003003003  -14.776760053  -14.507549434  -14.440574454
    3.018018018  -14.534339235  -14.272709652  -14.207649885
    3.033033033  -14.318956814  -14.073276842  -14.012189288
    3.048048048  -14.112438744  -13.894732775  -13.840608315
    3.063063063  -13.894391591  -13.716310746  -13.672065597
    3.078078078  -13.654021400  -13.522880409  -13.490351075
    3.093093093  -13.407409005  -13.323074711  -13.302229062
    3.108108108  -13.179474713  -13.132045458  -13.120419647
    3.123123123  -12.969541902  -12.946450121  -12.940907868
    3.138138138  -12.765350458  -12.763113426  -12.762775171
    3.153153153  -12.573380670  -12.595862224  -12.601691597
    3.168168168  -12.407626543  -12.459093008  -12.472164783
    3.183183183  -12.260074584  -12.345518766  -12.367092590
    3.198198198  -12.114634899  -12.236704968  -12.267447632
    3.213213213  -11.978207123  -12.127047632  -12.164497387
    3.228228228  -11.865698551  -12.021305182  -12.060451317
    3.243243243  -11.776655572  -11.926982671  -11.964792854
    3.258258258  -11.683465200  -11.833489820  -11.871201022
    3.273273273  -11.561560770  -11.719795797  -11.759542498
    3.288288288  -11.412602908  -11.578055645  -11.619605780
    3.303303303  -11.249963378  -11.414113728  -11.455350350
    3.318318318  -11.086726572  -11.243110839  -11.282414216
    3.333333333  -10.923216043  -11.073769180  -11.111620557
    3.348348348  -10.747577239  -10.897366392  -10.935044843
    3.363363363  -10.552832115  -10.701518407  -10.738943198
    3.378378378  -10.349316634  -10.492249881  -10.528237961
    3.393393393  -10.159839051  -10.292547290  -10.325953016
    3.408408408   -9.998704701  -10.119989555  -10.150493384
    3.423423423   -9.865856520   -9.980887459  -10.009778292
    3.438438438   -9.752669061   -9.871151007   -9.900871505
    3.453453453   -9.649669686   -9.779289477   -9.811782136
    3.468468468   -9.551991178   -9.693507465   -9.728984610
    3.483483483   -9.448700258   -9.596176569   -9.633180675
    3.498498498   -9.323640774   -9.469679756   -9.506374084
    3.513513514   -9.180669994   -9.318151773   -9.352745206
    3.528528529   -9.044638688   -9.166707414   -9.197460082
    3.543543544   -8.939506497   -9.040116658   -9.065494888
    3.558558559   -8.878410767   -8.949721678   -8.967764556
    3.573573574   -8.854432319   -8.887747953   -8.896295847
    3.588588589   -8.841992286   -8.831797691   -8.829482722
    3.603603604   -8.816358100   -8.762185080   -8.748889995
    3.618618619   -8.768363432   -8.675002670   -8.651916902
    3.633633634   -8.696909610   -8.574801378   -8.544523789
