# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.507507508   12.563110783   13.225774532   13.392535242
    2.522522523   12.223342890   12.736780733   12.866284131
    2.537537538   11.911321251   12.247905835   12.333146780
    2.552552553   11.616480233   11.793038209   11.838158715
    2.567567568   11.330431090   11.385505205   11.400108051
    2.582582583   11.062789206   11.036073117   11.030073277
    2.597597598   10.803588159   10.732322019   10.715070937
    2.612612613   10.547023962   10.453217939   10.430318303
    2.627627628   10.298133353   10.175209045   10.145103106
    2.642642643   10.056699312    9.887281486    9.845616155
    2.657657658    9.831625046    9.611605885    9.557302483
    2.672672673    9.624829327    9.364259253    9.299815849
    2.687687688    9.419931405    9.134980602    9.064446947
    2.702702703    9.223953938    8.928539687    8.855385368
    2.717717718    9.065438969    8.767708644    8.693954791
    2.732732733    8.944397944    8.650415329    8.577555104
    2.747747748    8.827526224    8.542712466    8.472070478
    2.762762763    8.699556640    8.425509437    8.357469795
    2.777777778    8.595324928    8.327575636    8.261034471
    2.792792793    8.528079640    8.263590307    8.197831487
    2.807807808    8.459856838    8.203163333    8.139351275
    2.822822823    8.363295743    8.124794129    8.065531096
    2.837837838    8.237493782    8.016321517    7.961429629
    2.852852853    8.079660366    7.858468524    7.803619265
    2.867867868    7.889135024    7.660202465    7.603381671
    2.882882883    7.669674931    7.448364518    7.393347664
    2.897897898    7.424476521    7.230798535    7.182639915
    2.912912913    7.155020007    6.992393737    6.952046141
    2.927927928    6.868385060    6.730078842    6.695878586
    2.942942943    6.590701411    6.479526042    6.452139769
    2.957957958    6.342437687    6.269298289    6.251452023
    2.972972973    6.127103815    6.097266539    6.090281803
    2.987987988    5.946262376    5.957975441    5.961384461
    3.003003003    5.800952988    5.852916914    5.866348726
    3.018018018    5.680969895    5.775102787    5.799012797
    3.033033033    5.561662184    5.700285171    5.735263577
    3.048048048    5.428659314    5.610018119    5.655649288
    3.063063063    5.285970135    5.501881689    5.556139814
    3.078078078    5.154549547    5.391557678    5.451084255
    3.093093093    5.055977606    5.297923370    5.358684653
    3.108108108    4.982880011    5.217296689    5.276181493
    3.123123123    4.915199079    5.141646166    5.198533986
    3.138138138    4.854063602    5.079006708    5.135511823
    3.153153153    4.809153227    5.035012254    5.091748935
    3.168168168    4.770764292    4.995388879    5.051826907
    3.183183183    4.720838152    4.939069010    4.993915762
    3.198198198    4.665173615    4.864455015    4.914563071
    3.213213213    4.616018862    4.781177568    4.822743700
    3.228228228    4.565964099    4.694593694    4.727001769
    3.243243243    4.491336254    4.597016719    4.623664741
    3.258258258    4.378687228    4.473618447    4.497573904
    3.273273273    4.246582078    4.329041591    4.349889147
    3.288288288    4.118954639    4.181106248    4.196893243
    3.303303303    4.006510660    4.046068965    4.056213804
    3.318318318    3.906144097    3.929232371    3.935255341
    3.333333333    3.806751919    3.820537053    3.824233803
    3.348348348    3.707238589    3.711627342    3.712972463
    3.363363363    3.621666599    3.612555080    3.610500901
    3.378378378    3.567502423    3.543938631    3.538228875
    3.393393393    3.546479127    3.511853859    3.503339615
    3.408408408    3.543095128    3.504299443    3.494723123
    3.423423423    3.540281462    3.504124576    3.495218508
    3.438438438    3.527120651    3.494273193    3.486228169
    3.453453453    3.501516190    3.464915740    3.455975276
    3.468468468    3.462453489    3.411354319    3.398834858
    3.483483483    3.406932177    3.333254178    3.315123853
    3.498498498    3.347506865    3.247922817    3.223320354
    3.513513514    3.310226381    3.183625076    3.152243884
    3.528528529    3.306418490    3.153770749    3.115842253
    3.543543544    3.326453970    3.149305736    3.105228176
    3.558558559    3.346884227    3.147558618    3.097933391
    3.573573574    3.338892798    3.124246214    3.070794766
    3.588588589    3.287718776    3.069036948    3.014572617
    3.603603604    3.200416652    2.990933737    2.938752847
    3.618618619    3.093047919    2.905601779    2.858905410
    3.633633634    2.974656153    2.819474044    2.780817854
    3.648648649    2.855182423    2.735490773    2.705685342
    3.663663664    2.750246156    2.662172110    2.640256306
    3.678678679    2.666867660    2.602943712    2.587064271
    3.693693694    2.599223080    2.551836334    2.540101739
    3.708708709    2.538671443    2.503218454    2.494478645
    3.723723724    2.482940518    2.458837632    2.452934253
    3.738738739    2.432861307    2.423110614    2.420783733
    3.753753754    2.379609317    2.390371166    2.393169764
    3.768768769    2.311675287    2.349603761    2.359205515
    3.783783784    2.236479710    2.301442041    2.317812578
    3.798798799    2.172781974    2.255505344    2.276314250
    3.813813814    2.128565361    2.218400853    2.240976422
    3.828828829    2.097168479    2.190080254    2.213411588
    3.843843844    2.071317169    2.168800263    2.193270051
    3.858858859    2.048228809    2.151450042    2.177362528
    3.873873874    2.027989455    2.135946446    2.163050507
    3.888888889    2.014226530    2.125398381    2.153303703
    3.903903904    2.009102905    2.121710591    2.149967588
    3.918918919    2.006895821    2.118924534    2.147031001
    3.933933934    1.999349930    2.109256237    2.136826991
    3.948948949    1.987920553    2.095470256    2.122442421
    3.963963964    1.981064327    2.088159708    2.115006913
    3.978978979    1.978516924    2.088166203    2.115649109
    3.993993994    1.972787135    2.083666551    2.111469586
    4.009009009    1.959916675    2.063563326    2.089582459
    4.024024024    1.935801942    2.022909394    2.044815132
    4.039039039    1.896536930    1.962983394    1.979730031
    4.054054054    1.849059631    1.894412201    1.905876834
    4.069069069    1.808362344    1.832648313    1.838833096
    4.084084084    1.779224428    1.783953511    1.785240469
    4.099099099    1.753533173    1.743114225    1.740611134
    4.114114114    1.724016494    1.703909214    1.698983039
    4.129129129    1.689983879    1.665021800    1.658880837
    4.144144144    1.656286817    1.629947135    1.623460023
    4.159159159    1.631248917    1.604288130    1.597643473
    4.174174174    1.618512955    1.590206379    1.583223603
    4.189189189    1.611698434    1.582346270    1.575104534
    4.204204204    1.602054151    1.572907951    1.565723661
    4.219219219    1.588233670    1.560110334    1.553184189
    4.234234234    1.573819971    1.546546376    1.539829345
    4.249249249    1.558262397    1.529754452    1.522725033
    4.264264264    1.537849332    1.503919798    1.495529726
    4.279279279    1.514877666    1.472066420    1.461445722
    4.294294294    1.496009287    1.444385028    1.431550080
    4.309309309    1.484765957    1.427016998    1.412644917
    4.324324324    1.481433267    1.419694690    1.404323574
    4.339339339    1.482917894    1.417679264    1.401431887
    4.354354354    1.484443593    1.416265439    1.399282411
    4.369369369    1.485785990    1.414230101    1.396406997
    4.384384384    1.484711254    1.407511468    1.388288826
    4.399399399    1.470903187    1.388212996    1.367629141
    4.414414414    1.438034659    1.355153301    1.334522440
    4.429429429    1.391789426    1.316104986    1.297262403
    4.444444444    1.344054677    1.280006053    1.264058613
    4.459459459    1.303041402    1.251159677    1.238245285
    4.474474474    1.269152816    1.229361105    1.219464199
    4.489489489    1.241465474    1.215233679    1.208722622
    4.504504505    1.219109597    1.208339186    1.205693257
    4.519519520    1.199033956    1.203104256    1.204175761
    4.534534535    1.179662386    1.193973833    1.197615718
    4.549549550    1.161088805    1.180401598    1.185298212
    4.564564565    1.140862341    1.163576409    1.169320120
    4.579579580    1.117619978    1.145028144    1.151938636
    4.594594595    1.096436461    1.128605519    1.136698501
    4.609609610    1.084582627    1.119186456    1.127879686
    4.624624625    1.083746298    1.118142317    1.126778577
    4.639639640    1.088384912    1.121810843    1.130206071
    4.654654655    1.092053789    1.126119248    1.134679739
    4.669669670    1.093685654    1.129859194    1.138952490
    4.684684685    1.094757352    1.133015019    1.142632423
    4.699699700    1.093902654    1.134700648    1.144953192
    4.714714715    1.086935088    1.131538510    1.142743875
    4.729729730    1.070541082    1.118439421    1.130473264
    4.744744745    1.048474112    1.096635438    1.108736972
    4.759759760    1.029469549    1.075164879    1.086646271
    4.774774775    1.018370497    1.060293674    1.070827475
    4.789789790    1.013598259    1.051661345    1.061226865
    4.804804805    1.011382404    1.046592326    1.055441034
    4.819819820    1.007361457    1.041261212    1.049778719
    4.834834835    0.996893060    1.030534575    1.038986777
    4.849849850    0.980114778    1.013307097    1.021649555
    4.864864865    0.962348793    0.993655250    1.001529352
    4.879879880    0.946201306    0.973596689    0.980495580
    4.894894895    0.929993554    0.952049001    0.957613193
    4.909909910    0.914239251    0.930619755    0.934762104
    4.924924925    0.902770275    0.913123830    0.915754780
    4.939939940    0.897958746    0.901387618    0.902282965
    4.954954955    0.898059973    0.894727929    0.893928451
    4.969969970    0.899885002    0.891498096    0.889430844
    4.984984985    0.902630241    0.891175349    0.888339207
    5.000000000    0.907503058    0.894277321    0.890999348
    5.015015015    0.915263354    0.900004926    0.896221407
    5.030030030    0.925015222    0.905705640    0.900912676
    5.045045045    0.933039175    0.907495196    0.901147379
    5.060060060    0.935285494    0.902930285    0.894882248
    5.075075075    0.933908424    0.895420004    0.885837507
    5.090090090    0.934215724    0.890880243    0.880081906
    5.105105105    0.936601608    0.890768448    0.879342161
    5.120120120    0.938282548    0.893033624    0.881750388
    5.135135135    0.939230845    0.897211343    0.886730026
    5.150150150    0.941691141    0.904754940    0.895538790
    5.165165165    0.946722566    0.916068692    0.908420961
    5.180180180    0.953616329    0.929471339    0.923452069
    5.195195195    0.959061609    0.940324455    0.935660257
    5.210210210    0.959208531    0.944244407    0.940526295
    5.225225225    0.953876376    0.941802162    0.938807886
    5.240240240    0.946625045    0.937128662    0.934778871
    5.255255255    0.940027590    0.932860010    0.931091920
    5.270270270    0.934775215    0.929511162    0.928216866
    5.285285285    0.933098594    0.928537052    0.927413244
    5.300300300    0.938224233    0.932597424    0.931200370
    5.315315315    0.950448624    0.942792320    0.940883172
    5.330330330    0.964820486    0.955686650    0.953408479
    5.345345345    0.975494857    0.966657991    0.964457343
    5.360360360    0.981043896    0.974589917    0.972985701
    5.375375375    0.983773231    0.981468121    0.980897364
    5.390390390    0.986447150    0.989280785    0.989988543
    5.405405405    0.992477157    0.999738822    1.001547828
    5.420420420    1.004783963    1.014229584    1.016583116
    5.435435435    1.023145200    1.032625308    1.034990054
    5.450450450    1.045525668    1.054497878    1.056737409
    5.465465465    1.070168540    1.079989762    1.082440512
    5.480480480    1.096655148    1.108959077    1.112028253
    5.495495495    1.126279214    1.141495677    1.145288693
    5.510510511    1.159382370    1.177546492    1.182070598
    5.525525526    1.193742151    1.215188417    1.220529160
    5.540540541    1.229312953    1.253907822    1.260032049
    5.555555556    1.270402234    1.297041286    1.303669964
    5.570570571    1.318493199    1.346290121    1.353198698
    5.585585586    1.370421904    1.399762935    1.407045296
    5.600600601    1.423888238    1.455495690    1.463334779
    5.615615616    1.477903435    1.511197011    1.519457539
    5.630630631    1.531215314    1.564005462    1.572148047
    5.645645646    1.582497291    1.611657812    1.618899236
    5.660660661    1.633806835    1.656717550    1.662390945
    5.675675676    1.691602294    1.706556396    1.710222437
    5.690690691    1.762624956    1.768106523    1.769380131
    5.705705706    1.851313520    1.846576859    1.845272559
    5.720720721    1.961028141    1.947224038    1.943634451
    5.735735736    2.093289696    2.073910779    2.068915470
    5.750750751    2.250768699    2.230841398    2.225693071
    5.765765766    2.447404564    2.430730087    2.426357217
    5.780780781    2.701959563    2.689318658    2.685889318
    5.795795796    3.027754474    3.018137728    3.015380668
    5.810810811    3.426693752    3.418902093    3.416526537
    5.825825826    3.869760250    3.862674879    3.860446931
    5.840840841    4.294879696    4.288367783    4.286306283
    5.855855856    4.650734556    4.646961067    4.645626646
    5.870870871    4.918364260    4.919587335    4.919550672
    5.885885886    5.099373952    5.105262377    5.106436291
    5.900900901    5.222789285    5.230675861    5.232367545
    5.915915916    5.323693854    5.331025732    5.332586665
    5.930930931    5.415559914    5.422399792    5.423846155
    5.945945946    5.500255503    5.506822751    5.508206512
    5.960960961    5.573165009    5.574833202    5.574999761
    5.975975976    5.640755659    5.629802411    5.626809514
    5.990990991    5.720689422    5.693418064    5.686335950
    6.006006006    5.811089974    5.770892912    5.760580935
    6.021021021    5.895581332    5.849209214    5.837363637
    6.036036036    5.968632083    5.921434162    5.909382757
    6.051051051    6.036355680    5.992260470    5.980971490
    6.066066066    6.106955447    6.070714743    6.061371827
    6.081081081    6.189560502    6.166608597    6.160572590
    6.096096096    6.282741612    6.275080109    6.272872397
    6.111111111    6.376457695    6.381112431    6.382015067
