# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.273273273    3.541789683    3.446731294    2.416220688
    3.288288288    3.526642266    3.432602326    2.411952945
    3.303303303    3.511627863    3.418592297    2.407696772
    3.318318318    3.496745002    3.404699964    2.403452193
    3.333333333    3.481992224    3.390924099    2.399219230
    3.348348348    3.467368093    3.377263486    2.394997904
    3.363363363    3.452871187    3.363716925    2.390788236
    3.378378378    3.438500104    3.350283228    2.386590244
    3.393393393    3.424253458    3.336961221    2.382403947
    3.408408408    3.410129881    3.323749743    2.378229362
    3.423423423    3.396128022    3.310647647    2.374066506
    3.438438438    3.382246547    3.297653799    2.369915393
    3.453453453    3.368484137    3.284767076    2.365776039
    3.468468468    3.354839492    3.271986371    2.361648457
    3.483483483    3.341311326    3.259310587    2.357532660
    3.498498498    3.327898371    3.246738642    2.353428659
    3.513513514    3.314599371    3.234269463    2.349336465
    3.528528529    3.301413090    3.221901993    2.345256088
    3.543543544    3.288338306    3.209635185    2.341187538
    3.558558559    3.275373810    3.197468004    2.337130823
    3.573573574    3.262518411    3.185399427    2.333085950
    3.588588589    3.249770932    3.173428445    2.329052927
    3.603603604    3.237130209    3.161554057    2.325031759
    3.618618619    3.224595094    3.149775276    2.321022451
    3.633633634    3.212164453    3.138091125    2.317025009
    3.648648649    3.199837166    3.126500640    2.313039435
    3.663663664    3.187612127    3.115002867    2.309065734
    3.678678679    3.175488244    3.103596862    2.305103906
    3.693693694    3.163464437    3.092281693    2.301153955
    3.708708709    3.151539642    3.081056440    2.297215880
    3.723723724    3.139712805    3.069920191    2.293289682
    3.738738739    3.127982889    3.058872046    2.289375360
    3.753753754    3.116348865    3.047911116    2.285472914
    3.768768769    3.104809721    3.037036520    2.281582342
    3.783783784    3.093364456    3.026247390    2.277703641
    3.798798799    3.082012080    3.015542866    2.273836808
    3.813813814    3.070751617    3.004922099    2.269981840
    3.828828829    3.059582102    2.994384249    2.266138733
    3.843843844    3.048502583    2.983928486    2.262307481
    3.858858859    3.037512118    2.973553990    2.258488080
    3.873873874    3.026609778    2.963259949    2.254680523
    3.888888889    3.015794645    2.953045563    2.250884804
    3.903903904    3.005065812    2.942910038    2.247100915
    3.918918919    2.994422384    2.932852592    2.243328850
    3.933933934    2.983863476    2.922872451    2.239568600
    3.948948949    2.973388214    2.912968848    2.235820156
    3.963963964    2.962995734    2.903141028    2.232083510
    3.978978979    2.952685185    2.893388242    2.228358651
    3.993993994    2.942455723    2.883709752    2.224645569
    4.009009009    2.932306517    2.874104826    2.220944254
    4.024024024    2.922236745    2.864572743    2.217254694
    4.039039039    2.912245596    2.855112788    2.213576879
    4.054054054    2.902332266    2.845724255    2.209910795
    4.069069069    2.892495964    2.836406446    2.206256430
    4.084084084    2.882735908    2.827158672    2.202613772
    4.099099099    2.873051323    2.817980251    2.198982807
    4.114114114    2.863441446    2.808870508    2.195363521
    4.129129129    2.853905522    2.799828777    2.191755900
    4.144144144    2.844442806    2.790854399    2.188159929
    4.159159159    2.835052561    2.781946723    2.184575593
    4.174174174    2.825734059    2.773105105    2.181002877
    4.189189189    2.816486582    2.764328907    2.177441765
    4.204204204    2.807309418    2.755617502    2.173892240
    4.219219219    2.798201867    2.746970266    2.170354286
    4.234234234    2.789163235    2.738386585    2.166827886
    4.249249249    2.780192835    2.729865849    2.163313023
    4.264264264    2.771289993    2.721407458    2.159809678
    4.279279279    2.762454037    2.713010818    2.156317835
    4.294294294    2.753684308    2.704675340    2.152837474
    4.309309309    2.744980152    2.696400444    2.149368577
    4.324324324    2.736340925    2.688185554    2.145911125
    4.339339339    2.727765987    2.680030103    2.142465098
    4.354354354    2.719254709    2.671933529    2.139030477
    4.369369369    2.710806469    2.663895276    2.135607241
    4.384384384    2.702420650    2.655914795    2.132195371
    4.399399399    2.694096644    2.647991544    2.128794846
