# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000159379
    0.015015015    0.000160369
    0.030030030    0.000161374
    0.045045045    0.000162396
    0.060060060    0.000163435
    0.075075075    0.000164492
    0.090090090    0.000165566
    0.105105105    0.000166658
    0.120120120    0.000167770
    0.135135135    0.000168901
    0.150150150    0.000170052
    0.165165165    0.000171225
    0.180180180    0.000172419
    0.195195195    0.000173636
    0.210210210    0.000174876
    0.225225225    0.000176140
    0.240240240    0.000177429
    0.255255255    0.000178744
    0.270270270    0.000180087
    0.285285285    0.000181457
    0.300300300    0.000182857
    0.315315315    0.000184287
    0.330330330    0.000185749
    0.345345345    0.000187244
    0.360360360    0.000188774
    0.375375375    0.000190340
    0.390390390    0.000191944
    0.405405405    0.000193588
    0.420420420    0.000195274
    0.435435435    0.000197005
    0.450450450    0.000198781
    0.465465465    0.000200607
    0.480480480    0.000202484
    0.495495495    0.000204417
    0.510510511    0.000206407
    0.525525526    0.000208460
    0.540540541    0.000210579
    0.555555556    0.000212769
    0.570570571    0.000215035
    0.585585586    0.000217383
    0.600600601    0.000219818
    0.615615616    0.000222350
    0.630630631    0.000224986
    0.645645646    0.000227736
    0.660660661    0.000230610
    0.675675676    0.000233623
    0.690690691    0.000236790
    0.705705706    0.000240127
    0.720720721    0.000243657
    0.735735736    0.000247405
    0.750750751    0.000251400
    0.765765766    0.000255679
    0.780780781    0.000260285
    0.795795796    0.000265268
    0.810810811    0.000270685
    0.825825826    0.000276599
    0.840840841    0.000283074
    0.855855856    0.000290163
    0.870870871    0.000297892
    0.885885886    0.000306234
    0.900900901    0.000315096
    0.915915916    0.000324304
    0.930930931    0.000333630
    0.945945946    0.000342826
    0.960960961    0.000351688
    0.975975976    0.000360138
    0.990990991    0.000368285
    1.006006006    0.000376421
    1.021021021    0.000384924
    1.036036036    0.000394123
    1.051051051    0.000404209
    1.066066066    0.000415252
    1.081081081    0.000427256
    1.096096096    0.000440200
    1.111111111    0.000454022
    1.126126126    0.000468595
    1.141141141    0.000483767
    1.156156156    0.000499457
    1.171171171    0.000515753
    1.186186186    0.000532925
    1.201201201    0.000551349
    1.216216216    0.000571373
    1.231231231    0.000593198
    1.246246246    0.000616841
    1.261261261    0.000642189
    1.276276276    0.000669059
    1.291291291    0.000697226
    1.306306306    0.000726456
    1.321321321    0.000756597
    1.336336336    0.000787711
    1.351351351    0.000820141
    1.366366366    0.000854438
    1.381381381    0.000891157
    1.396396396    0.000930582
    1.411411411    0.000972521
    1.426426426    0.001016252
    1.441441441    0.001060728
    1.456456456    0.001104961
    1.471471471    0.001148424
    1.486486486    0.001191268
    1.501501502    0.001234267
    1.516516517    0.001278522
    1.531531532    0.001325074
    1.546546547    0.001374658
    1.561561562    0.001427696
    1.576576577    0.001484388
    1.591591592    0.001544691
    1.606606607    0.001608091
    1.621621622    0.001673365
    1.636636637    0.001738576
    1.651651652    0.001801334
    1.666666667    0.001859237
    1.681681682    0.001910426
    1.696696697    0.001954108
    1.711711712    0.001990795
    1.726726727    0.002022075
    1.741741742    0.002050063
    1.756756757    0.002076756
    1.771771772    0.002103546
    1.786786787    0.002130982
    1.801801802    0.002158784
    1.816816817    0.002186077
    1.831831832    0.002211800
    1.846846847    0.002235046
    1.861861862    0.002255152
    1.876876877    0.002271671
    1.891891892    0.002284431
    1.906906907    0.002293672
    1.921921922    0.002300102
    1.936936937    0.002304823
    1.951951952    0.002309236
    1.966966967    0.002314997
    1.981981982    0.002323934
    1.996996997    0.002337841
    2.012012012    0.002358183
    2.027027027    0.002385850
    2.042042042    0.002421074
    2.057057057    0.002463566
    2.072072072    0.002512870
    2.087087087    0.002568726
    2.102102102    0.002631123
    2.117117117    0.002699888
    2.132132132    0.002774140
    2.147147147    0.002852057
    2.162162162    0.002931119
    2.177177177    0.003008543
    2.192192192    0.003081631
    2.207207207    0.003148083
    2.222222222    0.003206400
    2.237237237    0.003256240
    2.252252252    0.003298340
    2.267267267    0.003333974
    2.282282282    0.003364361
    2.297297297    0.003390391
    2.312312312    0.003412711
    2.327327327    0.003432049
    2.342342342    0.003449646
    2.357357357    0.003467590
    2.372372372    0.003488733
    2.387387387    0.003516023
    2.402402402    0.003551554
    2.417417417    0.003595974
    2.432432432    0.003648589
    2.447447447    0.003707873
    2.462462462    0.003771951
    2.477477477    0.003838756
    2.492492492    0.003905738
    2.507507508    0.003969264
    2.522522523    0.004024447
    2.537537538    0.004066131
    2.552552553    0.004090850
    2.567567568    0.004098446
    2.582582583    0.004092210
    2.597597598    0.004077517
    2.612612613    0.004059908
    2.627627628    0.004043722
    2.642642643    0.004031736
    2.657657658    0.004025504
    2.672672673    0.004025731
    2.687687688    0.004032436
    2.702702703    0.004045061
    2.717717718    0.004062673
    2.732732733    0.004084154
    2.747747748    0.004108373
    2.762762763    0.004134346
    2.777777778    0.004161264
    2.792792793    0.004188470
    2.807807808    0.004215663
    2.822822823    0.004243260
    2.837837838    0.004272424
    2.852852853    0.004304551
    2.867867868    0.004340661
    2.882882883    0.004381132
    2.897897898    0.004425761
    2.912912913    0.004473839
    2.927927928    0.004524284
    2.942942943    0.004575925
    2.957957958    0.004627927
    2.972972973    0.004680055
    2.987987988    0.004732467
    3.003003003    0.004785128
    3.018018018    0.004837431
    3.033033033    0.004888445
    3.048048048    0.004937480
    3.063063063    0.004984351
    3.078078078    0.005029083
    3.093093093    0.005071347
    3.108108108    0.005110125
    3.123123123    0.005143912
    3.138138138    0.005171451
    3.153153153    0.005192637
    3.168168168    0.005209041
    3.183183183    0.005223532
    3.198198198    0.005239138
    3.213213213    0.005257952
    3.228228228    0.005280894
    3.243243243    0.005308213
    3.258258258    0.005339910
    3.273273273    0.005375563
    3.288288288    0.005413847
    3.303303303    0.005452334
    3.318318318    0.005487876
    3.333333333    0.005517503
    3.348348348    0.005539500
    3.363363363    0.005554125
    3.378378378    0.005563578
    3.393393393    0.005571254
    3.408408408    0.005580658
    3.423423423    0.005594522
    3.438438438    0.005614551
    3.453453453    0.005641793
    3.468468468    0.005676946
    3.483483483    0.005720011
    3.498498498    0.005769738
    3.513513514    0.005823746
    3.528528529    0.005879381
    3.543543544    0.005934599
    3.558558559    0.005988470
    3.573573574    0.006041361
    3.588588589    0.006094749
    3.603603604    0.006150511
    3.618618619    0.006209943
    3.633633634    0.006273060
    3.648648649    0.006338555
    3.663663664    0.006404265
    3.678678679    0.006467695
    3.693693694    0.006526462
    3.708708709    0.006578881
    3.723723724    0.006624659
    3.738738739    0.006665084
    3.753753754    0.006702354
    3.768768769    0.006738631
    3.783783784    0.006775717
    3.798798799    0.006815420
    3.813813814    0.006859727
    3.828828829    0.006910255
    3.843843844    0.006967443
    3.858858859    0.007030261
    3.873873874    0.007096536
    3.888888889    0.007163539
    3.903903904    0.007228447
    3.918918919    0.007288645
    3.933933934    0.007341924
    3.948948949    0.007386665
    3.963963964    0.007422134
    3.978978979    0.007448921
    3.993993994    0.007469232
    4.009009009    0.007486549
    4.024024024    0.007504652
    4.039039039    0.007526585
    4.054054054    0.007554238
    4.069069069    0.007588651
    4.084084084    0.007630498
    4.099099099    0.007680175
    4.114114114    0.007737597
    4.129129129    0.007802243
    4.144144144    0.007873456
    4.159159159    0.007950461
    4.174174174    0.008031847
    4.189189189    0.008115097
    4.204204204    0.008196760
    4.219219219    0.008273170
    4.234234234    0.008341187
    4.249249249    0.008398811
    4.264264264    0.008445743
    4.279279279    0.008483586
    4.294294294    0.008515311
    4.309309309    0.008544262
    4.324324324    0.008573504
    4.339339339    0.008605900
    4.354354354    0.008644353
    4.369369369    0.008691464
    4.384384384    0.008748621
    4.399399399    0.008815148
    4.414414414    0.008888045
    4.429429429    0.008962494
    4.444444444    0.009032975
    4.459459459    0.009094467
    4.474474474    0.009143216
    4.489489489    0.009177214
    4.504504505    0.009196780
    4.519519520    0.009204873
    4.534534535    0.009206422
    4.549549550    0.009206905
    4.564564565    0.009211088
    4.579579580    0.009222362
    4.594594595    0.009242442
    4.609609610    0.009271297
    4.624624625    0.009307372
    4.639639640    0.009348285
    4.654654655    0.009391878
    4.669669670    0.009437187
    4.684684685    0.009484771
    4.699699700    0.009536140
    4.714714715    0.009592737
    4.729729730    0.009655357
    4.744744745    0.009724387
    4.759759760    0.009800513
    4.774774775    0.009885194
    4.789789790    0.009980502
    4.804804805    0.010088487
    4.819819820    0.010210558
    4.834834835    0.010347103
    4.849849850    0.010497143
    4.864864865    0.010657940
    4.879879880    0.010824788
    4.894894895    0.010991245
    4.909909910    0.011149593
    4.924924925    0.011291280
    4.939939940    0.011407453
    4.954954955    0.011489913
    4.969969970    0.011532530
    4.984984985    0.011532598
    5.000000000    0.011491459
    5.015015015    0.011414188
    5.030030030    0.011308568
    5.045045045    0.011183825
    5.060060060    0.011049611
    5.075075075    0.010915359
    5.090090090    0.010789686
    5.105105105    0.010679547
    5.120120120    0.010589248
    5.135135135    0.010519941
    5.150150150    0.010469925
    5.165165165    0.010435465
    5.180180180    0.010411691
    5.195195195    0.010393366
    5.210210210    0.010375555
    5.225225225    0.010354327
    5.240240240    0.010327608
    5.255255255    0.010295885
    5.270270270    0.010262140
    5.285285285    0.010230725
    5.300300300    0.010205694
    5.315315315    0.010189568
    5.330330330    0.010183118
    5.345345345    0.010185797
    5.360360360    0.010196236
    5.375375375    0.010212518
    5.390390390    0.010232495
    5.405405405    0.010254415
    5.420420420    0.010277772
    5.435435435    0.010303711
    5.450450450    0.010334614
    5.465465465    0.010373303
    5.480480480    0.010422444
    5.495495495    0.010484108
    5.510510511    0.010559057
    5.525525526    0.010645842
    5.540540541    0.010740463
    5.555555556    0.010837148
    5.570570571    0.010929890
    5.585585586    0.011013873
    5.600600601    0.011086203
    5.615615616    0.011145991
    5.630630631    0.011194052
    5.645645646    0.011232374
    5.660660661    0.011263575
    5.675675676    0.011290577
    5.690690691    0.011316327
    5.705705706    0.011343085
    5.720720721    0.011371374
    5.735735736    0.011399490
    5.750750751    0.011424350
    5.765765766    0.011443236
    5.780780781    0.011454948
    5.795795796    0.011459514
    5.810810811    0.011457287
    5.825825826    0.011448760
    5.840840841    0.011435330
    5.855855856    0.011420017
    5.870870871    0.011407285
    5.885885886    0.011401924
    5.900900901    0.011407699
    5.915915916    0.011426490
    5.930930931    0.011458061
    5.945945946    0.011500282
    5.960960961    0.011549792
    5.975975976    0.011603041
    5.990990991    0.011657293
    6.006006006    0.011711036
    6.021021021    0.011763571
    6.036036036    0.011814015
    6.051051051    0.011860428
    6.066066066    0.011899817
    6.081081081    0.011929052
    6.096096096    0.011945984
    6.111111111    0.011949993
    6.126126126    0.011941729
    6.141141141    0.011922230
    6.156156156    0.011891925
    6.171171171    0.011850272
    6.186186186    0.011796546
    6.201201201    0.011731363
    6.216216216    0.011657778
    6.231231231    0.011581102
    6.246246246    0.011507664
    6.261261261    0.011443370
    6.276276276    0.011392723
    6.291291291    0.011358425
    6.306306306    0.011341185
    6.321321321    0.011339466
    6.336336336    0.011349625
    6.351351351    0.011366963
    6.366366366    0.011387285
    6.381381381    0.011407993
    6.396396396    0.011428304
    6.411411411    0.011448937
    6.426426426    0.011471632
    6.441441441    0.011498585
    6.456456456    0.011531785
    6.471471471    0.011572329
    6.486486486    0.011619932
    6.501501502    0.011672837
    6.516516517    0.011728190
    6.531531532    0.011782795
    6.546546547    0.011834031
    6.561561562    0.011880561
    6.576576577    0.011922464
    6.591591592    0.011960661
