# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.678678679    7.945210977    8.133675255    8.177295795
    3.693693694    7.908304293    8.094955118    8.138155050
    3.708708709    7.871686656    8.056546411    8.099330932
    3.723723724    7.835355183    8.018445922    8.060820151
    3.738738739    7.799307026    7.980650476    8.022619456
    3.753753754    7.763539367    7.943156937    7.984725637
    3.768768769    7.728049423    7.905962204    7.947135521
    3.783783784    7.692834440    7.869063217    7.909845975
    3.798798799    7.657891696    7.832456948    7.872853901
    3.813813814    7.623218502    7.796140408    7.836156240
    3.828828829    7.588812195    7.760110643    7.799749968
    3.843843844    7.554670148    7.724364732    7.763632101
    3.858858859    7.520789759    7.688899790    7.727799685
    3.873873874    7.487168458    7.653712968    7.692249807
    3.888888889    7.453803703    7.618801449    7.656979584
    3.903903904    7.420692981    7.584162448    7.621986171
    3.918918919    7.387833810    7.549793215    7.587266755
    3.933933934    7.355223731    7.515691033    7.552818557
    3.948948949    7.322860318    7.481853214    7.518638831
    3.963963964    7.290741169    7.448277106    7.484724865
    3.978978979    7.258863910    7.414960084    7.451073977
    3.993993994    7.227226196    7.381899557    7.417683518
    4.009009009    7.195825705    7.349092963    7.384550870
    4.024024024    7.164660144    7.316537770    7.351673448
    4.039039039    7.133727243    7.284231478    7.319048694
    4.054054054    7.103024762    7.252171612    7.286674084
    4.069069069    7.072550482    7.220355731    7.254547121
    4.084084084    7.042302210    7.188781419    7.222665339
    4.099099099    7.012277780    7.157446290    7.191026301
    4.114114114    6.982475047    7.126347985    7.159627598
    4.129129129    6.952891892    7.095484173    7.128466850
    4.144144144    6.923526220    7.064852550    7.097541704
    4.159159159    6.894375959    7.034450839    7.066849836
    4.174174174    6.865439060    7.004276789    7.036388948
    4.189189189    6.836713497    6.974328177    7.006156771
    4.204204204    6.808197266    6.944602803    6.976151059
    4.219219219    6.779888387    6.915098494    6.946369596
    4.234234234    6.751784902    6.885813103    6.916810189
    4.249249249    6.723884873    6.856744506    6.887470672
    4.264264264    6.696186384    6.827890605    6.858348905
    4.279279279    6.668687543    6.799249326    6.829442771
    4.294294294    6.641386475    6.770818618    6.800750178
    4.309309309    6.614281330    6.742596454    6.772269059
    4.324324324    6.587370275    6.714580832    6.743997371
    4.339339339    6.560651499    6.686769770    6.715933095
    4.354354354    6.534123210    6.659161311    6.688074233
    4.369369369    6.507783639    6.631753520    6.660418812
    4.384384384    6.481631031    6.604544483    6.632964883
    4.399399399    6.455663657    6.577532310    6.605710516
    4.414414414    6.429879800    6.550715130    6.578653806
    4.429429429    6.404277769    6.524091095    6.551792868
    4.444444444    6.378855886    6.497658378    6.525125840
    4.459459459    6.353612493    6.471415172    6.498650881
    4.474474474    6.328545953    6.445359691    6.472366171
    4.489489489    6.303654643    6.419490170    6.446269911
    4.504504505    6.278936961    6.393804862    6.420360320
    4.519519520    6.254391319    6.368302041    6.394635642
    4.534534535    6.230016150    6.342980002    6.369094136
    4.549549550    6.205809902    6.317837055    6.343734085
    4.564564565    6.181771040    6.292871534    6.318553789
    4.579579580    6.157898047    6.268081788    6.293551567
    4.594594595    6.134189421    6.243466186    6.268725759
    4.609609610    6.110643676    6.219023116    6.244074722
    4.624624625    6.087259345    6.194750983    6.219596831
    4.639639640    6.064034974    6.170648209    6.195290482
    4.654654655    6.040969125    6.146713236    6.171154087
    4.669669670    6.018060376    6.122944521    6.147186075
    4.684684685    5.995307322    6.099340540    6.123384894
    4.699699700    5.972708571    6.075899784    6.099749010
    4.714714715    5.950262746    6.052620763    6.076276904
    4.729729730    5.927968486    6.029502002    6.052967077
    4.744744745    5.905824444    6.006542043    6.029818043
    4.759759760    5.883829288    5.983739443    6.006828335
    4.774774775    5.861981698    5.961092776    5.983996501
    4.789789790    5.840280372    5.938600631    5.961321106
    4.804804805    5.818724018    5.916261614    5.938800732
    4.819819820    5.797311361    5.894074344    5.916433973
    4.834834835    5.776041137    5.872037458    5.894219442
    4.849849850    5.754912096    5.850149604    5.872155765
    4.864864865    5.733923004    5.828409449    5.850241586
    4.879879880    5.713072635    5.806815671    5.828475560
    4.894894895    5.692359781    5.785366965    5.806856359
    4.909909910    5.671783244    5.764062039    5.785382670
    4.924924925    5.651341840    5.742899615    5.764053193
    4.939939940    5.631034395    5.721878429    5.742866644
    4.954954955    5.610859750    5.700997231    5.721821750
    4.969969970    5.590816757    5.680254784    5.700917254
    4.984984985    5.570904282    5.659649864    5.680151912
    5.000000000    5.551121199    5.639181262    5.659524495
    5.015015015    5.531466396    5.618847780    5.639033785
    5.030030030    5.511938775    5.598648233    5.618678577
    5.045045045    5.492537244    5.578581450    5.598457682
    5.060060060    5.473260728    5.558646273    5.578369922
    5.075075075    5.454108159    5.538841553    5.558414129
    5.090090090    5.435078483    5.519166157    5.538589153
    5.105105105    5.416170655    5.499618961    5.518893852
    5.120120120    5.397383641    5.480198857    5.499327097
    5.135135135    5.378716418    5.460904744    5.479887774
    5.150150150    5.360167976    5.441735536    5.460574776
