# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    2.057057057  -10.534093791  -14.252862153  -15.133146928
    2.072072072  -12.070604879  -14.929241573  -15.615523347
    2.087087087  -13.212541575  -15.481065466  -16.028788388
    2.102102102  -13.863104661  -15.817398653  -16.286848720
    2.117117117  -14.202409879  -15.983499701  -16.407547765
    2.132132132  -14.417948972  -16.073159038  -16.466316396
    2.147147147  -14.623883686  -16.190339241  -16.563805321
    2.162162162  -14.828668975  -16.336554523  -16.695602530
    2.177177177  -14.924392184  -16.375259677  -16.716727277
    2.192192192  -14.817666614  -16.217290751  -16.542674047
    2.207207207  -14.597185934  -15.953010348  -16.267725315
    2.222222222  -14.367593561  -15.657981637  -15.957909748
    2.237237237  -14.062628232  -15.283536565  -15.566266771
    2.252252252  -13.584465375  -14.814489336  -15.097088334
    2.267267267  -12.883263339  -14.282647699  -14.599913709
    2.282282282  -11.978327424  -13.692069411  -14.076115853
    2.297297297  -11.058536613  -13.131235026  -13.595496186
    2.312312312  -10.431783777  -12.803889828  -13.339984448
    2.327327327  -10.246424250  -12.798276801  -13.380744915
    2.342342342  -10.370162907  -12.994560771  -13.597106943
    2.357357357  -10.594239115  -13.251884033  -13.863947106
    2.372372372  -10.820996292  -13.544106048  -14.172288990
    2.387387387  -11.019215943  -13.902825288  -14.568062889
    2.402402402  -11.204809248  -14.321731982  -15.040714919
    2.417417417  -11.430715316  -14.737813174  -15.500841994
    2.432432432  -11.636073365  -15.041507581  -15.825612637
    2.447447447  -11.661025775  -15.116591276  -15.909033982
    2.462462462  -11.484622232  -14.965685039  -15.761928237
    2.477477477  -11.237803202  -14.706193397  -15.499655082
    2.492492492  -11.057957165  -14.468532232  -15.250799300
    2.507507508  -11.124734001  -14.388871405  -15.141751542
    2.522522523  -11.611492535  -14.574736557  -15.262985687
    2.537537538  -12.419104525  -14.956352685  -15.547814788
    2.552552553  -13.202400834  -15.316864061  -15.808505415
    2.567567568  -13.735615290  -15.513544886  -15.924747262
    2.582582583  -14.101718608  -15.607485942  -15.955415858
    2.597597598  -14.449483198  -15.721755002  -16.016745276
    2.612612613  -14.789232135  -15.852937467  -16.100107652
    2.627627628  -15.056477166  -15.909734954  -16.108492854
    2.642642643  -15.228971444  -15.879362835  -16.032584508
    2.657657658  -15.338218846  -15.838140577  -15.958553124
    2.672672673  -15.424936091  -15.836580061  -15.937870302
    2.687687688  -15.435419595  -15.810265866  -15.902510920
    2.702702703  -15.284160617  -15.678579213  -15.773750362
    2.717717718  -15.020008365  -15.497483022  -15.610830372
    2.732732733  -14.751127480  -15.381632630  -15.529625854
    2.747747748  -14.509379091  -15.354420693  -15.550567545
    2.762762763  -14.314619702  -15.381160815  -15.627035070
    2.777777778  -14.220971441  -15.444292561  -15.725597621
    2.792792793  -14.251288467  -15.536502665  -15.831861721
    2.807807808  -14.372711515  -15.647933773  -15.941004533
    2.822822823  -14.491718307  -15.722133434  -16.004574257
    2.837837838  -14.551551925  -15.702945893  -15.966938895
    2.852852853  -14.595790129  -15.618029943  -15.852587206
    2.867867868  -14.657001868  -15.521119833  -15.719946236
    2.882882883  -14.706113807  -15.428180615  -15.594866893
    2.897897898  -14.694974977  -15.314509910  -15.457534675
    2.912912913  -14.568923022  -15.127518736  -15.255461783
    2.927927928  -14.284511446  -14.824032588  -14.946052586
    2.942942943  -13.882681487  -14.438005547  -14.562831284
    2.957957958  -13.477159268  -14.054408685  -14.184490462
    2.972972973  -13.186163686  -13.752125546  -13.880989930
    2.987987988  -13.088920979  -13.579932749  -13.693728268
    3.003003003  -13.173121520  -13.523011883  -13.606338949
    3.018018018  -13.338366250  -13.514769456  -13.559385451
    3.033033033  -13.489582135  -13.504457338  -13.512475080
    3.048048048  -13.598095863  -13.480405201  -13.457981979
    3.063063063  -13.665681176  -13.433166320  -13.383827602
    3.078078078  -13.663468845  -13.332401958  -13.259418522
    3.093093093  -13.558225234  -13.161144132  -13.072214907
    3.108108108  -13.371147748  -12.950216912  -12.855608525
    3.123123123  -13.148502488  -12.738433332  -12.646373377
    3.138138138  -12.930900571  -12.544228127  -12.457730044
    3.153153153  -12.750263546  -12.374556754  -12.291082291
    3.168168168  -12.609627905  -12.227186003  -12.142567536
    3.183183183  -12.465516709  -12.074071535  -11.986974215
    3.198198198  -12.277552928  -11.880447769  -11.791081291
    3.213213213  -12.042637366  -11.637826020  -11.545984699
    3.228228228  -11.767760532  -11.359890955  -11.267040735
    3.243243243  -11.453739270  -11.057648052  -10.967506704
    3.258258258  -11.135955718  -10.761701455  -10.677121105
    3.273273273  -10.869075385  -10.518671709  -10.440435655
    3.288288288  -10.693340173  -10.357389928  -10.283256662
    3.303303303  -10.610251917  -10.267903030  -10.192611304
    3.318318318  -10.568920552  -10.204368897  -10.123811790
    3.333333333  -10.508346400  -10.125590563  -10.040430128
    3.348348348  -10.397489243  -10.016948872   -9.931849610
    3.363363363  -10.236527918   -9.883286483   -9.804288210
    3.378378378  -10.049141964   -9.742396872   -9.674244963
    3.393393393   -9.885126020   -9.628443006   -9.572222044
    3.408408408   -9.787604492   -9.575219911   -9.529649028
    3.423423423   -9.761230639   -9.590864029   -9.555190328
    3.438438438   -9.778038311   -9.649709247   -9.623567438
    3.453453453   -9.804122198   -9.714229303   -9.696481721
    3.468468468   -9.816073180   -9.762161513   -9.752133088
    3.483483483   -9.799549683   -9.779927433   -9.777285233
    3.498498498   -9.758151758   -9.760947875   -9.763050999
    3.513513514   -9.712865448   -9.712957767   -9.714210678
    3.528528529   -9.689372116   -9.655216699   -9.648628368
    3.543543544   -9.680296003   -9.591830756   -9.572694970
    3.558558559   -9.630062658   -9.494776442   -9.464543985
    3.573573574   -9.498346887   -9.342758980   -9.307468772
    3.588588589   -9.301140817   -9.145475693   -9.109819492
    3.603603604   -9.081076546   -8.928597990   -8.893536088
    3.618618619   -8.868894680   -8.717127672   -8.682328314
    3.633633634   -8.677889833   -8.524905844   -8.490112244
    3.648648649   -8.522359764   -8.362392397   -8.326463848
    3.663663664   -8.406910932   -8.229503584   -8.190046778
    3.678678679   -8.315709830   -8.107452195   -8.061328705
    3.693693694   -8.240434064   -7.989097532   -7.933521169
    3.708708709   -8.177656348   -7.877753384   -7.811198758
    3.723723724   -8.113554971   -7.764451884   -7.686498231
    3.738738739   -8.052038506   -7.653036688   -7.563743347
    3.753753754   -8.016520306   -7.566722370   -7.466246990
    3.768768769   -8.003150447   -7.506107103   -7.395093898
    3.783783784   -7.963649715   -7.431786857   -7.312492001
    3.798798799   -7.855207808   -7.306069646   -7.182146515
    3.813813814   -7.671543711   -7.124143949   -6.999994367
    3.828828829   -7.443855220   -6.917620854   -6.798079305
    3.843843844   -7.230249288   -6.738321677   -6.626906815
    3.858858859   -7.070562156   -6.615560362   -6.513117105
    3.873873874   -6.962191977   -6.537204635   -6.442115188
    3.888888889   -6.888903496   -6.479902666   -6.388845697
    3.903903904   -6.835088454   -6.430217191   -6.340307071
    3.918918919   -6.777864803   -6.376894393   -6.287817419
    3.933933934   -6.697851400   -6.307432841   -6.220493180
    3.948948949   -6.600289522   -6.220083244   -6.135179540
    3.963963964   -6.501358411   -6.122329096   -6.037498696
    3.978978979   -6.409823167   -6.023965552   -5.937551128
    3.993993994   -6.326778396   -5.933279592   -5.845228860
    4.009009009   -6.247920495   -5.852506239   -5.764146786
    4.024024024   -6.170701081   -5.783281669   -5.696900574
    4.039039039   -6.095818940   -5.727149621   -5.645237303
    4.054054054   -6.023522402   -5.680918502   -5.605141122
    4.069069069   -5.958762985   -5.644370685   -5.575165884
    4.084084084   -5.906953577   -5.618912754   -5.555726558
    4.099099099   -5.863676854   -5.600693407   -5.543124996
    4.114114114   -5.821769898   -5.586010305   -5.534509054
    4.129129129   -5.774109574   -5.568755742   -5.523889027
    4.144144144   -5.714265731   -5.539197137   -5.500809346
    4.159159159   -5.643855784   -5.494032820   -5.460988068
    4.174174174   -5.571077610   -5.436349232   -5.406427282
    4.189189189   -5.500845854   -5.369483194   -5.340147082
    4.204204204   -5.427478991   -5.293649941   -5.263712992
    4.219219219   -5.344239244   -5.208365012   -5.178062826
    4.234234234   -5.250768120   -5.112285097   -5.081563255
    4.249249249   -5.160722606   -5.011478634   -4.978534125
    4.264264264   -5.093840313   -4.921943047   -4.884051935
    4.279279279   -5.050694107   -4.849763489   -4.805313345
    4.294294294   -5.017319933   -4.785649434   -4.734131072
    4.309309309   -4.983970890   -4.721377189   -4.662775977
    4.324324324   -4.948645612   -4.658798112   -4.594021177
    4.339339339   -4.908830003   -4.599680270   -4.530546837
    4.354354354   -4.857872978   -4.537621922   -4.465960443
    4.369369369   -4.789919435   -4.465421010   -4.392801006
    4.384384384   -4.704962507   -4.383045510   -4.311080980
    4.399399399   -4.609723712   -4.293914765   -4.223391297
    4.414414414   -4.509538565   -4.195951801   -4.125921685
    4.429429429   -4.403746984   -4.085085812   -4.013860589
    4.444444444   -4.291318831   -3.963109027   -3.889715992
    4.459459459   -4.177607499   -3.841174809   -3.765962268
    4.474474474   -4.069840683   -3.731361716   -3.655692860
    4.489489489   -3.972435853   -3.635020890   -3.559570688
    4.504504505   -3.888970805   -3.548331136   -3.472155979
    4.519519520   -3.815607471   -3.466629221   -3.388575766
    4.534534535   -3.736900807   -3.382597480   -3.303368366
    4.549549550   -3.649189114   -3.298637180   -3.220360211
    4.564564565   -3.570967125   -3.231314277   -3.155664203
    4.579579580   -3.518299987   -3.191596948   -3.119082828
    4.594594595   -3.489599263   -3.172767012   -3.102688620
    4.609609610   -3.470062443   -3.155917326   -3.086541197
    4.624624625   -3.440371355   -3.123478443   -3.053369649
    4.639639640   -3.382275441   -3.063560485   -2.992769130
    4.654654655   -3.289293430   -2.974859113   -2.904836837
    4.669669670   -3.175417388   -2.874637629   -2.807672115
    4.684684685   -3.061527970   -2.784739308   -2.723195182
    4.699699700   -2.956179341   -2.709590989   -2.654790459
    4.714714715   -2.860755034   -2.641453099   -2.592770164
    4.729729730   -2.779871294   -2.577151114   -2.532269590
    4.744744745   -2.714876730   -2.516629450   -2.472862830
    4.759759760   -2.659989567   -2.457235394   -2.412605752
    4.774774775   -2.609397427   -2.398411334   -2.352064286
    4.789789790   -2.559704246   -2.342716113   -2.294998411
    4.804804805   -2.505425631   -2.289346276   -2.241648673
    4.819819820   -2.446096313   -2.240304106   -2.194714184
    4.834834835   -2.385898313   -2.200718009   -2.159657167
    4.849849850   -2.329928343   -2.170848188   -2.135726575
    4.864864865   -2.282787537   -2.142492168   -2.111838761
    4.879879880   -2.243013407   -2.106120547   -2.076474765
    4.894894895   -2.202224407   -2.062306317   -2.032078484
    4.909909910   -2.155996849   -2.020124504   -1.990783254
    4.924924925   -2.107965514   -1.984466022   -1.957875641
    4.939939940   -2.058381009   -1.949273462   -1.925936445
    4.954954955   -1.999835588   -1.902428472   -1.881791732
    4.969969970   -1.933745505   -1.844688499   -1.826000562
    4.984984985   -1.870448449   -1.787392122   -1.770087136
    5.000000000   -1.814262939   -1.734150414   -1.717429614
    5.015015015   -1.756798039   -1.677291619   -1.660543078
    5.030030030   -1.684771838   -1.606673039   -1.590130060
    5.045045045   -1.596569423   -1.520902085   -1.504905422
    5.060060060   -1.504616878   -1.429901212   -1.414119545
    5.075075075   -1.424603002   -1.348701112   -1.332521634
    5.090090090   -1.365746244   -1.288666576   -1.272049812
    5.105105105   -1.327296841   -1.248579365   -1.231616626
    5.120120120   -1.298772601   -1.213070547   -1.194778788
    5.135135135   -1.265543633   -1.166753107   -1.145783886
    5.150150150   -1.215168142   -1.103691976   -1.079964277
    5.165165165   -1.143517206   -1.026889036   -1.001839437
    5.180180180   -1.057343103   -0.944913213   -0.920515255
    5.195195195   -0.966256341   -0.863277017   -0.840863753
    5.210210210   -0.880048425   -0.785049055   -0.764485446
    5.225225225   -0.808795644   -0.715279383   -0.695224487
    5.240240240   -0.754457262   -0.654543300   -0.633193952
    5.255255255   -0.710170419   -0.599193828   -0.575268989
    5.270270270   -0.674944522   -0.552970912   -0.526365642
    5.285285285   -0.650314615   -0.522217407   -0.494108327
    5.300300300   -0.625189817   -0.501211331   -0.474027692
    5.315315315   -0.588640483   -0.478136499   -0.454107465
    5.330330330   -0.547954666   -0.452355224   -0.431885162
    5.345345345   -0.518896331   -0.430469580   -0.411960349
    5.360360360   -0.506251507   -0.411980387   -0.392418533
    5.375375375   -0.501086160   -0.392756727   -0.369980560
    5.390390390   -0.494550962   -0.374582228   -0.348998970
    5.405405405   -0.498591494   -0.376340987   -0.350053552
    5.420420420   -0.533293818   -0.417392452   -0.392353672
    5.435435435   -0.602781455   -0.495647461   -0.472429750
    5.450450450   -0.700884155   -0.597089060   -0.574623752
    5.465465465   -0.810945828   -0.698508119   -0.674283249
    5.480480480   -0.917204390   -0.783967426   -0.755159632
    5.495495495   -1.024230329   -0.865480168   -0.830803142
    5.510510511   -1.141569723   -0.960359985   -0.920507019
    5.525525526   -1.264011021   -1.065101250   -1.021156559
    5.540540541   -1.381826688   -1.168555661   -1.121069107
    5.555555556   -1.496798931   -1.272604187   -1.222079022
    5.570570571   -1.622604897   -1.395483737   -1.343464638
    5.585585586   -1.767764704   -1.549959932   -1.499283767
    5.600600601   -1.928091712   -1.728291679   -1.681176911
    5.615615616   -2.091712335   -1.917700252   -1.875554824
    5.630630631   -2.244906811   -2.113790047   -2.079760686
    5.645645646   -2.380583180   -2.314289770   -2.293169071
    5.660660661   -2.505474075   -2.516154049   -2.511328725
    5.675675676   -2.623780927   -2.708483304   -2.720396105
    5.690690691   -2.724857916   -2.874591746   -2.902211849
    5.705705706   -2.796809535   -3.002652924   -3.044460459
    5.720720721   -2.840010763   -3.090835761   -3.144189671
    5.735735736   -2.857979477   -3.142532451   -3.204578017
    5.750750751   -2.854227759   -3.161832447   -3.229988784
    5.765765766   -2.846288408   -3.166168242   -3.237762882
    5.780780781   -2.852072902   -3.177842267   -3.250956140
    5.795795796   -2.868474989   -3.203937466   -3.278986193
    5.810810811   -2.880737548   -3.236566913   -3.315831797
    5.825825826   -2.881397058   -3.264136402   -3.349276745
    5.840840841   -2.872855883   -3.278641546   -3.369004538
    5.855855856   -2.859045725   -3.278698532   -3.372324121
    5.870870871   -2.838612267   -3.264833461   -3.360251168
    5.885885886   -2.805451831   -3.234243068   -3.330686924
    5.900900901   -2.765094815   -3.193279464   -3.289932132
    5.915915916   -2.738075480   -3.161356666   -3.257120497
    5.930930931   -2.736267235   -3.151311276   -3.245334887
    5.945945946   -2.755534378   -3.165678936   -3.258462152
    5.960960961   -2.782807423   -3.195804570   -3.288958799
    5.975975976   -2.806462667   -3.226023315   -3.320576070
    5.990990991   -2.823550865   -3.246541583   -3.342040291
    6.006006006   -2.830039011   -3.251144637   -3.346397370
    6.021021021   -2.817913395   -3.236289508   -3.330912740
    6.036036036   -2.785977141   -3.206800505   -3.301757069
    6.051051051   -2.739249236   -3.170026161   -3.267007773
    6.066066066   -2.682568384   -3.127605145   -3.227806095
    6.081081081   -2.619682124   -3.077117782   -3.180331034
    6.096096096   -2.555401055   -3.019162478   -3.124063130
    6.111111111   -2.497386601   -2.961887865   -3.067097962
    6.126126126   -2.452367497   -2.916095435   -3.021128878
    6.141141141   -2.415437968   -2.878229649   -2.983070660
    6.156156156   -2.373186497   -2.832519451   -2.936719066
    6.171171171   -2.322322998   -2.775740617   -2.878804669
    6.186186186   -2.274059449   -2.721088030   -2.822858224
    6.201201201   -2.236660486   -2.676718852   -2.776957825
    6.216216216   -2.203079966   -2.635639846   -2.734180433
    6.231231231   -2.159703436   -2.585820991   -2.682893452
    6.246246246   -2.102468498   -2.523824347   -2.619737238
    6.261261261   -2.039456111   -2.456982500   -2.551859461
    6.276276276   -1.981442095   -2.395509074   -2.489437111
    6.291291291   -1.937421878   -2.347664430   -2.440648835
    6.306306306   -1.911433556   -2.317090859   -2.409022869
    6.321321321   -1.899477534   -2.300229203   -2.391013703
    6.336336336   -1.887626794   -2.283462065   -2.373127074
    6.351351351   -1.858860277   -2.250299209   -2.339103604
    6.366366366   -1.808386641   -2.197184339   -2.285645071
    6.381381381   -1.744696493   -2.133412527   -2.222094731
    6.396396396   -1.678346247   -2.068916999   -2.158067963
    6.411411411   -1.619243159   -2.012707634   -2.102352877
