# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.891891892    0.338594368    0.339221052    0.026792498
    1.906906907    0.387911005    0.388870360    0.028119161
    1.921921922    0.452935254    0.454221355    0.029605627
    1.936936937    0.539395958    0.540372904    0.031287124
    1.951951952    0.651330732    0.649199562    0.033206675
    1.966966967    0.782503292    0.770534892    0.035410096
    1.981981982    0.907715626    0.881010191    0.037939842
    1.996996997    0.998103762    0.970147981    0.040851053
    2.012012012    1.052352490    1.051930638    0.044228554
    2.027027027    1.096531187    1.136732635    0.048170619
    2.042042042    1.153609034    1.221408839    0.052873901
    2.057057057    1.224447830    1.297229943    0.058728277
    2.072072072    1.308771836    1.359592102    0.066201631
    2.087087087    1.419470836    1.417494879    0.075673510
    2.102102102    1.557870871    1.485641516    0.087423870
    2.117117117    1.705248147    1.578711294    0.101983230
    2.132132132    1.841406342    1.710331591    0.119962249
    2.147147147    1.968473188    1.888300700    0.140713812
    2.162162162    2.104516350    2.105515873    0.162032595
    2.177177177    2.250565175    2.331773310    0.181817330
    2.192192192    2.382256720    2.509771134    0.198871238
    2.207207207    2.466450539    2.590265164    0.212550540
    2.222222222    2.502088262    2.592459325    0.224013284
    2.237237237    2.529145683    2.575119625    0.235815821
    2.252252252    2.580767738    2.572279924    0.249912049
    2.267267267    2.649482314    2.582396904    0.265809296
    2.282282282    2.703757641    2.593231082    0.281013942
    2.297297297    2.720932452    2.599635613    0.294072869
    2.312312312    2.697122573    2.601521668    0.304862372
    2.327327327    2.666953449    2.621234347    0.315016289
    2.342342342    2.674848345    2.690810069    0.327238969
    2.357357357    2.708682036    2.789489505    0.340773587
    2.372372372    2.728700832    2.852445494    0.353563042
    2.387387387    2.729927109    2.850854939    0.366075647
    2.402402402    2.726049008    2.804866549    0.378322781
    2.417417417    2.726417606    2.744706245    0.389770420
    2.432432432    2.742009814    2.697349817    0.402673563
    2.447447447    2.769999234    2.672928561    0.418961454
    2.462462462    2.794218235    2.675438018    0.436358871
    2.477477477    2.815900393    2.716714174    0.452204545
